input_name,output_name
Scotia Capital Inc.(2),Scotia Capital Inc.
ScotiaCapital (USA) Inc.,Scotia Capital Inc.
Seaport Global Securities LLC,Seaport Global Securities LLC
Seaport Global SecuritiesLLC,Seaport Global Securities LLC
Second Capital Increase,Second Capital Increase
SeriesA-1 convertible preferred stock,SeriesA-1 convertible preferred stock
SeriesA-2 convertible preferred stock,SeriesA-2 convertible preferred stock
SeriesB-1 convertible preferred stock,SeriesB-1 convertible preferred stock
Shares authorized for future issuance under 2019 Equity Incentive Plan,Shares authorized for future issuance under 2019 Equity Incentive Plan
Shenwan Hongyuan Securities (H.K.) Limited,Shenwan Hongyuan Securities (H.K.) Limited
Sidoti & Company,Sidoti & Company
Sidoti & Company LLC,Sidoti & Company
Siebert Brandford Shank & Co. L.L.C.,Siebert Brandford Shank & Co. L.L.C.
Siebert Cisneros Shank & Co. L.L.C.,Siebert Cisneros Shank & Co. L.L.C.
Simmons & Company International,Simmons & Company International
Skandinaviska Enskilda Banken AB (publ),Skandinaviska Enskilda Banken AB (publ)
Standard Bank Plc,Standard Bank Plc
Stephens Inc.,Stephens Inc.
StephensInc.,Stephens Inc.
Sterne Agee & Leach Inc.,Sterne Agee & Leach Inc.
Stifel Nicolaus & Company Incorporated,Stifel Financial Corp.
Stifel Financial Corp.,Stifel Financial Corp.
Stifel Nicolaus & Company,Stifel Financial Corp.
Stifel Nicolaus & Company Inc.,Stifel Financial Corp.
Stifel Nicolaus & Company Incorporated,Stifel Financial Corp.
Stifel Nicolaus & CompanyIncorporated,Stifel Financial Corp.
StifelNicolaus & Company,Stifel Financial Corp.
Stock options,Stock options
SunTrust Robinson Humphrey Inc.,SunTrust Robinson Humphrey Inc.
SunTrust Robinson HumphreyInc.,SunTrust Robinson Humphrey Inc.
